date,m3 yield,m6 yield,y1 yield,y5 yield,y5 inflation indexed,y10 yield,y10 inflation indexed,m3 secondary,m6 secondary,spy,eur_usd
2004-12-03,2.21,2.39,2.58,3.61,0.93,4.27,1.73,2.17,2.33,85.9695816040039,1.3466018438339233
2004-12-06,2.25,2.44,2.60,3.59,0.93,4.24,1.70,2.22,2.38,85.94071197509766,1.3396027088165283
2004-12-07,2.25,2.43,2.60,3.60,0.94,4.23,1.69,2.21,2.37,85.14048767089844,1.3430931568145752
2004-12-08,2.24,2.42,2.59,3.53,0.87,4.14,1.62,2.20,2.36,85.63796997070312,1.334507703781128
2004-12-09,2.24,2.42,2.59,3.54,0.90,4.19,1.64,2.20,2.36,85.94071197509766,1.3304064273834229
2004-12-10,2.25,2.44,2.61,3.52,0.93,4.16,1.66,2.21,2.38,86.02725219726562,1.3215975761413574
2004-12-13,2.24,2.50,2.66,3.54,0.92,4.16,1.65,2.21,2.44,86.77698516845703,1.3320013284683228
2004-12-14,2.21,2.48,2.65,3.53,0.89,4.14,1.62,2.18,2.42,87.07977294921875,1.3309022188186646
2004-12-15,2.21,2.47,2.64,3.48,0.83,4.09,1.57,2.17,2.41,87.14462280273438,1.3403927087783813
2004-12-16,2.20,2.47,2.66,3.58,0.90,4.19,1.64,2.16,2.41,87.09420776367188,1.325100064277649
2004-12-17,2.20,2.48,2.67,3.59,0.90,4.21,1.64,2.16,2.42,86.51327514648438,1.3312920331954956
2004-12-20,2.22,2.54,2.72,3.59,0.89,4.21,1.62,2.19,2.48,86.53500366210938,1.3392080068588257
2004-12-21,2.20,2.54,2.72,3.57,0.86,4.18,1.59,2.17,2.48,87.20137023925781,1.3368983268737793
2004-12-22,2.18,2.53,2.71,3.57,0.89,4.21,1.63,2.15,2.47,87.41144561767578,1.3391003608703613
2004-12-23,2.19,2.54,2.70,3.58,0.88,4.23,1.62,2.15,2.47,87.47663116455078,1.3512052297592163
2004-12-24,,,,,,,,,,,1.3538029193878174
2004-12-27,2.26,2.63,2.78,3.65,0.94,4.30,1.67,2.24,2.56,87.2955551147461,1.3623977899551392
2004-12-28,2.25,2.62,2.77,3.66,0.95,4.31,1.69,2.22,2.55,87.77359771728516,1.359397530555725
2004-12-29,2.22,2.60,2.77,3.69,0.99,4.33,1.73,2.19,2.53,87.90397644042969,1.3606922626495361
2004-12-30,2.22,2.59,2.76,3.64,0.97,4.27,1.70,2.18,2.52,87.73738861083984,1.3628062009811401
2004-12-31,2.22,2.59,2.75,3.63,0.99,4.24,1.68,2.18,2.52,87.5490493774414,1.3565024137496948
2005-01-03,2.32,2.63,2.79,3.64,1.02,4.23,1.70,2.29,2.56,87.13621520996094,1.3470009565353394
2005-01-04,2.33,2.63,2.82,3.72,1.10,4.29,1.78,2.30,2.56,86.07144165039062,1.3281975984573364
2005-01-05,2.33,2.63,2.83,3.73,1.13,4.29,1.79,2.29,2.56,85.47749328613281,1.3280036449432373
2005-01-06,2.31,2.63,2.82,3.71,1.12,4.29,1.76,2.27,2.56,85.91207885742188,1.3183046579360962
2005-01-07,2.32,2.63,2.82,3.73,1.16,4.29,1.80,2.28,2.56,85.78895568847656,1.3060967922210693
2005-01-10,2.36,2.67,2.86,3.75,1.13,4.29,1.77,2.33,2.60,86.19458770751953,1.310994029045105
2005-01-11,2.34,2.67,2.86,3.73,1.13,4.26,1.76,2.31,2.60,85.6006088256836,1.3116990327835083
2005-01-12,2.34,2.64,2.84,3.72,1.12,4.25,1.73,2.30,2.57,85.88311767578125,1.3255919218063354
2005-01-13,2.35,2.65,2.84,3.68,1.08,4.20,1.70,2.31,2.58,85.19502258300781,1.3211086988449097
2005-01-14,2.37,2.68,2.87,3.71,1.13,4.23,1.72,2.32,2.61,85.64405059814453,1.3098949193954468
2005-01-17,,,,,,,,,,,1.3051081895828247
2005-01-18,2.39,2.71,2.90,3.72,1.15,4.21,1.71,2.36,2.64,86.53500366210938,1.3017951250076294
2005-01-19,2.37,2.69,2.88,3.73,1.17,4.20,1.70,2.33,2.62,85.62962341308594,1.3003056049346924
2005-01-20,2.35,2.67,2.85,3.68,1.16,4.17,1.70,2.31,2.60,85.10807037353516,1.29629385471344
2005-01-21,2.36,2.66,2.83,3.65,1.14,4.16,1.69,2.31,2.59,84.58657836914062,1.299899935722351
2005-01-24,2.37,2.69,2.86,3.65,1.13,4.14,1.68,2.34,2.62,84.4200210571289,1.3039000034332275
2005-01-25,2.39,2.70,2.88,3.71,1.16,4.20,1.74,2.36,2.63,84.65900421142578,1.2971009016036987
2005-01-26,2.41,2.71,2.90,3.73,1.15,4.21,1.72,2.37,2.64,84.91252899169922,1.307805061340332
2005-01-27,2.44,2.72,2.91,3.75,1.16,4.22,1.72,2.40,2.65,85.05738067626953,1.304103970527649
2005-01-28,2.46,2.71,2.89,3.69,1.11,4.16,1.65,2.41,2.64,85.05738067626953,1.3044953346252441
2005-01-31,2.51,2.79,2.96,3.71,1.13,4.14,1.65,2.48,2.72,85.58614349365234,1.305193305015564
2005-02-01,2.51,2.77,2.95,3.71,1.15,4.15,1.67,2.47,2.70,86.12940216064453,1.3039000034332275
2005-02-02,2.51,2.76,2.95,3.73,1.18,4.15,1.70,2.47,2.69,86.39012908935547,1.3032032251358032
2005-02-03,2.48,2.76,2.96,3.76,1.20,4.18,1.73,2.44,2.69,86.16558837890625,1.2972019910812378
2005-02-04,2.47,2.75,2.93,3.68,1.11,4.09,1.65,2.43,2.68,87.08552551269531,1.2857933044433594
2005-02-07,2.51,2.78,2.96,3.67,1.11,4.07,1.62,2.48,2.71,86.96958923339844,1.2764055728912354
2005-02-08,2.49,2.78,2.97,3.68,1.07,4.05,1.57,2.48,2.71,87.07101440429688,1.2769924402236938
2005-02-09,2.51,2.77,2.93,3.58,0.95,4.00,1.49,2.47,2.70,86.41913604736328,1.281295657157898
2005-02-10,2.51,2.78,2.96,3.65,0.99,4.07,1.57,2.47,2.71,86.73060607910156,1.287597894668579
2005-02-11,2.55,2.83,3.00,3.70,1.00,4.10,1.57,2.50,2.75,87.47663116455078,1.2856941223144531
