date,m6 yield,y5 yield,y10 yield,spy,eur_usd,CPI,GDP,FFER,y,class,dir
2007-02-07,5.16,4.74,4.74,109.01347351074219,1.3023037910461426,2.415199,0.235493107,5.25,1.3040019273757935,40,1.0
2007-02-08,5.16,4.73,4.73,108.87081909179688,1.3040019273757935,2.415199,0.235493107,5.25,1.3006945848464966,40,-1.0
2007-02-09,5.17,4.78,4.79,108.06001281738281,1.3006945848464966,2.415199,0.235493107,5.25,1.29629385471344,40,-1.0
2007-02-12,5.18,4.8,4.8,107.6921615600586,1.29629385471344,2.415199,0.235493107,5.25,1.3032032251358032,40,1.0
2007-02-13,5.17,4.81,4.82,108.60051727294922,1.3032032251358032,2.415199,0.235493107,5.25,1.3139914274215698,40,1.0
2007-02-14,5.16,4.72,4.74,109.3137435913086,1.3139914274215698,2.415199,0.235493107,5.26,1.313508152961731,40,-1.0
2007-02-15,5.15,4.68,4.7,109.45633697509766,1.313508152961731,2.415199,0.235493107,5.26,1.3138015270233154,40,1.0
2007-02-16,5.15,4.68,4.69,109.4038314819336,1.3138015270233154,2.415199,0.235493107,5.26,1.3152011632919312,40,1.0
2007-02-19,5.15,4.68,4.69,109.4038314819336,1.3152011632919312,2.415199,0.235493107,5.26,1.3148033618927002,40,-1.0
2007-02-20,5.16,4.67,4.68,109.63652801513672,1.3148033618927002,2.415199,0.235493107,5.26,1.313905119895935,40,-1.0
2007-02-21,5.16,4.68,4.69,109.59148406982422,1.313905119895935,2.415199,0.235493107,5.25,1.312508225440979,40,-1.0
2007-02-22,5.17,4.72,4.73,109.50895690917969,1.312508225440979,2.415199,0.235493107,5.25,1.3168984651565552,40,1.0
2007-02-23,5.17,4.67,4.68,109.08098602294922,1.3168984651565552,2.415199,0.235493107,5.25,1.319400429725647,50,1.0
2007-02-26,5.18,4.62,4.63,108.98343658447266,1.319400429725647,2.415199,0.235493107,5.25,1.3232064247131348,50,1.0
2007-02-27,5.1,4.46,4.5,104.72675323486328,1.3232064247131348,2.415199,0.235493107,5.25,1.322891354560852,50,-1.0
2007-02-28,5.12,4.52,4.56,105.80032348632812,1.322891354560852,2.415199,0.235493107,5.28,1.317002534866333,40,-1.0
2007-03-01,5.11,4.5,4.56,105.4850082397461,1.317002534866333,2.778779,0.235493107,5.28,1.3164995908737183,40,-1.0
2007-03-02,5.07,4.46,4.52,104.10364532470703,1.3164995908737183,2.778779,0.235493107,5.28,1.3086949586868286,40,-1.0
2007-03-05,5.08,4.45,4.51,103.11273193359375,1.3086949586868286,2.778779,0.235493107,5.28,1.3138015270233154,40,1.0
2007-03-06,5.1,4.48,4.53,104.87687683105469,1.3138015270233154,2.778779,0.235493107,5.28,1.3178529739379883,40,1.0
2007-03-07,5.09,4.45,4.5,104.77182006835938,1.3178529739379883,2.778779,0.235493107,5.25,1.314198613166809,40,-1.0
2007-03-08,5.08,4.45,4.51,105.65769958496094,1.314198613166809,2.778779,0.235493107,5.25,1.3115957975387573,40,-1.0
2007-03-09,5.13,4.55,4.59,105.68770599365234,1.3115957975387573,2.778779,0.235493107,5.25,1.318791389465332,40,1.0
2007-03-12,5.13,4.5,4.56,105.84532928466797,1.318791389465332,2.778779,0.235493107,5.25,1.319000244140625,50,1.0
2007-03-13,5.1,4.41,4.5,103.78836822509766,1.319000244140625,2.778779,0.235493107,5.25,1.323504090309143,50,1.0
2007-03-14,5.1,4.44,4.53,104.56163024902344,1.323504090309143,2.778779,0.235493107,5.25,1.328303575515747,50,1.0
2007-03-15,5.12,4.46,4.54,104.70420837402344,1.328303575515747,2.778779,0.235493107,5.25,1.3318061828613281,50,1.0
2007-03-16,5.13,4.47,4.55,104.41107940673828,1.3318061828613281,2.778779,0.235493107,5.25,1.3312920331954956,50,-1.0
2007-03-19,5.13,4.5,4.58,105.66978454589844,1.3312920331954956,2.778779,0.235493107,5.25,1.33159339427948,50,1.0
2007-03-20,5.12,4.47,4.56,106.25009155273438,1.33159339427948,2.778779,0.235493107,5.25,1.3399077653884888,50,1.0
2007-03-21,5.08,4.43,4.53,107.99873352050781,1.3399077653884888,2.778779,0.235493107,5.26,1.3334044218063354,50,-1.0
2007-03-22,5.08,4.49,4.6,107.9157943725586,1.3334044218063354,2.778779,0.235493107,5.26,1.3296988010406494,50,-1.0
2007-03-23,5.1,4.52,4.62,108.07408142089844,1.3296988010406494,2.778779,0.235493107,5.26,1.3365052938461304,50,1.0
2007-03-26,5.09,4.48,4.6,107.93087005615234,1.3365052938461304,2.778779,0.235493107,5.26,1.3315047025680542,50,-1.0
2007-03-27,5.09,4.5,4.62,107.67460632324219,1.3315047025680542,2.778779,0.235493107,5.26,1.3334933519363403,50,1.0
2007-03-28,5.08,4.5,4.62,106.89076232910156,1.3334933519363403,2.778779,0.235493107,5.26,1.3358982801437378,50,1.0
2007-03-29,5.06,4.53,4.64,107.00377655029297,1.3358982801437378,2.778779,0.235493107,5.26,1.33249831199646,50,-1.0
2007-04-02,5.09,4.54,4.65,107.14701080322266,1.33249831199646,2.778779,0.235493107,5.26,1.3373990058898926,50,1.0
2007-04-03,5.09,4.56,4.67,108.30023193359375,1.3373990058898926,2.778779,0.235493107,5.26,1.3432012796401978,50,1.0
